station_index,latitude,longitude,date_time,time_zone,aqi,city_name,city_url,dominant_pollution,pollution_co,pollution_dew,pollution_h,pollution_o3,pollution_p,pollution_pm10,pollution_pm25,pollution_r,pollution_so2,pollution_t
905,30.5571378257044,114.251523174281,2019-10-06 13:00:00,+08:00,57,https://aqicn.org/city/wuhan/hanyangyuehu,,pm25,10.4,,,7.4,,31,57,,5.1,
906,30.6196730729398,114.282229640575,2019-10-06 13:00:00,+08:00,53,https://aqicn.org/city/wuhan/hankouhuaqiao,,pm25,7.5,,,10.2,,13,53,,4.6,
907,30.5332340005751,114.304000350723,2019-10-06 13:00:00,+08:00,93,https://aqicn.org/city/wuhan/wuchangziyang,,pm25,11,,,7.4,,31,93,,7.1,
908,30.624719,114.370058,2019-10-06 13:00:00,+08:00,65,https://aqicn.org/city/wuhan/qingshanganghua,,pm25,5.1,,,11.8,,18,65,,2.1,
909,30.482469,114.156561,2019-10-06 13:00:00,+08:00,68,https://aqicn.org/city/wuhan/chunkouxinqu,,pm25,6.4,15.9,83.8,9.8,1019.2,23,68,0.5,4.1,18.7
910,30.594389,114.301447,2019-10-06 13:00:00,+08:00,61,https://aqicn.org/city/wuhan/hankoujiangtan,,pm25,8.4,,,11,,15,61,,4.1,
911,30.4832623885865,114.401701915129,2019-09-30 02:00:00,+08:00,-,https://aqicn.org/city/wuhan/donghugaoxin,,,9.2,15.9,83.8,16.3,1019.2,77,127,0.5,8.2,18.7
912,30.633424,114.130212,2019-10-06 13:00:00,+08:00,53,https://aqicn.org/city/wuhan/wujiashan,,pm25,7.1,,,15.1,,12,53,,2.1,
913,30.29982222,113.8530639,2019-10-06 13:00:00,+08:00,42,https://aqicn.org/city/wuhan/chenhuqihao,,pm25,5.3,15.9,83.8,11.4,1019.2,24,42,0.5,5.6,18.7
914,22.590807,114.262078,2019-10-06 12:00:00,+08:00,53,https://aqicn.org/city/shenzhen/yantian,,pm25,4.3,,57.2,37.8,1013.9,29,53,,3.1,29.4
915,22.762593,114.35232,,+0800,-,http://aqicn.org/city/shenzhen/xiabei/,,,,,51,,,,,,,27
916,22.575856,113.862238,2019-10-06 12:00:00,+08:00,80,https://aqicn.org/city/shenzhen/xixiang,,pm25,5.5,,,39.4,,44,80,,3.1,
917,22.764405,113.848641,,+0800,-,http://aqicn.org/city/shenzhen/songgang/,,,,,51,,,,,,,27
918,22.73284,113.811677,,+0800,-,http://aqicn.org/city/shenzhen/shajing/,,,,,51,,,,,,,27
919,22.690824,114.346126,,+0800,-,http://aqicn.org/city/shenzhen/pingshan/,,,,,51,,,,,,,27
920,22.516847,113.923192,2019-10-06 12:00:00,+08:00,70,https://aqicn.org/city/shenzhen/nanyou,,pm25,5,,,43.1,,36,70,,2.1,
921,22.528186,114.496906,2019-10-06 12:00:00,+08:00,61,https://aqicn.org/city/shenzhen/nanao,,pm25,4.6,,57.2,,1013.9,19,61,,2.6,29.4
922,22.598902,114.313483,2019-10-06 12:00:00,+08:00,65,https://aqicn.org/city/shenzhen/meisha,,pm25,4.3,,57.2,39.8,1013.9,28,65,,2.6,29.4
923,22.65158,114.022403,,+0800,-,http://aqicn.org/city/shenzhen/longhua/,,,,,51,,,,,,,27
924,22.720358,114.247468,2019-10-06 12:00:00,+08:00,85,https://aqicn.org/city/shenzhen/longgang,,pm25,4.6,,57.2,,1013.9,35,85,,2.1,29.4
925,22.5500005,114.0960791,2019-10-06 12:00:00,+08:00,80,https://aqicn.org/city/shenzhen/liyuan,,pm25,4.8,,57.2,45.1,1013.9,30,80,,3.1,29.4
926,22.630626,114.423948,2019-10-06 12:00:00,+08:00,61,https://aqicn.org/city/shenzhen/kuiyong,,pm25,4.9,,57.2,43.9,1013.9,25,61,,3.1,29.4
927,22.542454,113.987495,2019-10-06 12:00:00,+08:00,70,https://aqicn.org/city/shenzhen/huaqiaocheng,,pm25,4.3,,,23.2,,29,70,,3.1,
928,22.562334,114.116872,2019-10-06 12:00:00,+08:00,85,https://aqicn.org/city/shenzhen/honghu,,pm25,5.4,,57.2,46.3,1013.9,34,85,,0.6,29.4
929,22.648548,114.208946,,+0800,-,http://aqicn.org/city/shenzhen/henggang/,,,,,51,,,,,,,27
930,22.723285,114.417292,,+0800,-,http://aqicn.org/city/shenzhen/guangming/,,,,,51,,,,,,,27
